date,month_num,cluster_id,recent_cases,total_cases,cases,location,latitude,longitude,source_file,source_folder
2013-05-23,5.0,2.0,,81.0,6.0,yishun avenue 9 (block 250),1.4355931,103.8416836,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun ring road (block 225),1.4336673,103.8295198,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun ring road (block 244),1.4340034,103.8410905,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun ring road (block 252),1.434706,103.841046,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun ring road (block 253),1.4349763,103.8404153,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,4.0,yishun ring road (block 254),1.4346791,103.8404683,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,6.0,yishun ring road (block 255),1.4343519,103.8405601,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun ring road (block 257),1.4342246,103.8395909,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 21 (block 222),1.4341235,103.8356352,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun street 21 (block 227),1.435152,103.836505,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 21 (block 232),1.4346666,103.8371297,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun street 22 (block 258),1.4352272,103.8398353,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun street 22 (block 260),1.4355185,103.8392132,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 261),1.4353817,103.8385457,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 262),1.4358366,103.8390756,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,4.0,yishun street 22 (block 263),1.436219,103.8390084,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 264),1.435885,103.838331,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun street 22 (block 265),1.436743,103.8383419,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun street 22 (block 269),1.4371095,103.8402837,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 270),1.437374,103.839874,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,3.0,yishun street 22 (block 271),1.437831,103.8403075,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun street 22 (block 272),1.4380307,103.8395235,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 273),1.4377618,103.8395482,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,2.0,yishun street 22 (block 274),1.4374591,103.8387122,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 275),1.437751,103.838555,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 277),1.4380167,103.8369254,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 291),1.4365761,103.8364549,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,2.0,,81.0,1.0,yishun street 22 (block 293),1.4364175,103.8379562,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,2.0,tampines street 21 (block 236),1.355938,103.947135,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 21 (block 238),1.355732,103.946594,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,2.0,tampines street 21 (block 239),1.354834,103.946593,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,4.0,tampines street 21 (block 240),1.35504,103.947096,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,2.0,tampines street 21 (block 243),1.354169,103.94714,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 21 (block 244),1.3537738,103.9471203,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,2.0,tampines street 41 (block 401),1.357156,103.944661,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,5.0,tampines street 41 (block 402),1.357338,103.945461,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,4.0,tampines street 41 (block 404),1.358087,103.944404,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,5.0,tampines street 41 (block 405),1.357847,103.944882,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 406),1.35786,103.945655,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,5.0,tampines street 41 (block 407),1.358151,103.94489,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,2.0,tampines street 41 (block 408),1.358809,103.945147,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 410),1.358812,103.94615,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 411),1.359151,103.946104,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,5.0,tampines street 41 (block 415),1.359479,103.946873,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,3.0,tampines street 41 (block 418),1.358232,103.947458,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 419),1.357849,103.9466659,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 421),1.35754,103.947546,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 422),1.357315,103.947025,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,3.0,tampines street 41 (block 423),1.357129,103.947519,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,3.0,tampines street 41 (block 424),1.357438,103.948133,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 426),1.359526,103.947916,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,3.0,,57.0,1.0,tampines street 41 (block 429),1.3592075,103.9497859,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,4.0,boon lay way,1.344297,103.727439,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,1.0,corporation rise,1.3398777,103.7178623,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,5.0,corporation road,1.338061,103.717015,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,3.0,corporation walk,1.339475,103.7182739,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,12.0,lakepoint drive,1.3410577,103.7179993,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,4.0,,39.0,14.0,lakeside drive,1.3422882,103.7187232,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,5.0,,29.0,11.0,jalan senang,1.326895,103.916294,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,5.0,,29.0,10.0,lengkong empat,1.328221,103.91293,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,5.0,,29.0,8.0,lengkong tujoh,1.3284875,103.9149022,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,4.0,changi road,1.3183019,103.9085734,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,2.0,jalan eunos,1.3243633,103.9054879,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,11.0,kampong eunos,1.3187523,103.9065111,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,7.0,lorong g telok kurau,1.3171331,103.9100968,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,1.0,lorong h telok kurau,1.3159895,103.9092854,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,6.0,,28.0,3.0,lorong sarina,1.3197205,103.9077415,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang north 5 (block 753),1.3923589,103.746909,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,2.0,choa chu kang north 5 (block 754),1.3922155,103.7466085,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,2.0,choa chu kang north 5 (block 755),1.392427,103.745923,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang north 5 (block 756),1.3926,103.745694,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang north 5 (block 758),1.393298,103.746158,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,6.0,choa chu kang street 53 (block 701),1.39162,103.746244,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,2.0,choa chu kang street 53 (block 702),1.391782,103.745507,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,3.0,choa chu kang street 53 (block 703),1.3913359,103.745982,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang street 53 (block 704),1.390991,103.745611,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang street 53 (block 705),1.3904015,103.7459985,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang street 53 (block 707),1.390391,103.747111,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,7.0,,22.0,1.0,choa chu kang street 53 (block 708),1.39162,103.7468109,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,4.0,bedok reservoir road (block 103),1.328835,103.9091399,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,1.0,bedok reservoir road (block 601),1.330042,103.911522,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,1.0,bedok reservoir road (block 605),1.330231,103.913374,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,2.0,bedok reservoir road (block 606),1.331335,103.913689,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,2.0,bedok reservoir road (block 607),1.331135,103.91277,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,3.0,bedok reservoir road (block 632),1.332034,103.91397,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,8.0,,14.0,1.0,teo kim eng road,1.3281311,103.9085615,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,9.0,,14.0,1.0,geylang east avenue 2,1.3179983,103.8890095,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,9.0,,14.0,3.0,geylang road,1.313431,103.883767,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,9.0,,14.0,4.0,lorong 37 geylang,1.3156848,103.8896649,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,9.0,,14.0,2.0,lorong 39 geylang,1.3162921,103.8906323,130523-clusters.csv,incorrect_latitude_longitude
2013-05-23,5.0,9.0,,14.0,3.0,lorong 40 geylang,1.3136959,103.8898106,130523-clusters.csv,incorrect_latitude_longitude
