planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
TOA PAYOH,TOA PAYOH WEST,14360.0,560.0,500.0,510.0,530.0,610.0,880.0,1130.0,960.0,950.0,1090.0,1000.0,1100.0,1090.0,950.0,910.0,610.0,580.0,270.0,140.0,0.3564,4550.0,31.69
TOA PAYOH,WOODLEIGH,2450.0,100.0,130.0,160.0,160.0,140.0,180.0,150.0,190.0,190.0,220.0,200.0,160.0,170.0,140.0,90.0,30.0,20.0,20.0,10.0,0.0608,480.0,19.59
TUAS,TUAS BAY,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
TUAS,TUAS NORTH,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
TUAS,TUAS PROMENADE,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
TUAS,TUAS VIEW,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
TUAS,TUAS VIEW EXTENSION,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
WESTERN ISLANDS,JURONG ISLAND AND BUKOM,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
WESTERN WATER CATCHMENT,MURAI,640.0,30.0,50.0,20.0,20.0,130.0,50.0,30.0,60.0,70.0,40.0,30.0,50.0,50.0,10.0,,,,,,0.0159,60.0,9.38
WOODLANDS,GREENWOOD PARK,40.0,,,,,,,,,,,,,,,,,,,,0.001,0.0,0.0
WOODLANDS,MIDVIEW,35270.0,1590.0,1640.0,1870.0,2480.0,3460.0,3220.0,2480.0,2290.0,2100.0,2520.0,3270.0,2960.0,2100.0,1400.0,830.0,470.0,320.0,160.0,110.0,0.8753,5390.0,15.28
WOODLANDS,NORTH COAST,12100.0,300.0,350.0,470.0,650.0,970.0,1000.0,700.0,640.0,700.0,850.0,1030.0,1210.0,1030.0,800.0,670.0,340.0,230.0,120.0,50.0,0.3003,3240.0,26.78
WOODLANDS,SENOKO WEST,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
WOODLANDS,WOODGROVE,33790.0,980.0,1330.0,1740.0,2280.0,3320.0,3210.0,2060.0,1930.0,2170.0,2610.0,3300.0,3000.0,2350.0,1500.0,920.0,480.0,340.0,190.0,110.0,0.8385,5890.0,17.43
WOODLANDS,WOODLANDS EAST,98980.0,4960.0,5280.0,6010.0,6880.0,8020.0,7660.0,7520.0,7270.0,7460.0,8490.0,8020.0,7510.0,5710.0,3680.0,2220.0,1030.0,720.0,380.0,170.0,2.4563,13910.0,14.05
WOODLANDS,WOODLANDS REGIONAL CENTRE,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
WOODLANDS,WOODLANDS SOUTH,41000.0,2100.0,2620.0,2850.0,2990.0,3080.0,2630.0,2880.0,3420.0,3540.0,3590.0,3190.0,2600.0,2020.0,1510.0,1000.0,480.0,290.0,170.0,60.0,1.0175,5530.0,13.49
WOODLANDS,WOODLANDS WEST,33910.0,1560.0,1320.0,1510.0,1830.0,2590.0,3010.0,2530.0,2170.0,1930.0,2250.0,2740.0,2920.0,2680.0,1940.0,1340.0,730.0,520.0,250.0,100.0,0.8415,7560.0,22.29
YISHUN,KHATIB,10250.0,310.0,320.0,380.0,460.0,590.0,940.0,800.0,640.0,590.0,650.0,740.0,1010.0,1040.0,770.0,510.0,250.0,130.0,90.0,40.0,0.2544,2830.0,27.61
YISHUN,LOWER SELETAR,18660.0,2220.0,1690.0,1160.0,940.0,770.0,1150.0,2740.0,2220.0,1490.0,1260.0,870.0,730.0,530.0,350.0,260.0,120.0,90.0,40.0,30.0,0.4631,1420.0,7.61
YISHUN,NEE SOON,890.0,30.0,50.0,50.0,60.0,50.0,50.0,50.0,40.0,60.0,90.0,80.0,90.0,60.0,50.0,40.0,30.0,10.0,10.0,10.0,0.0221,210.0,23.6
YISHUN,NORTHLAND,28000.0,910.0,1030.0,1350.0,1510.0,1910.0,2320.0,1990.0,1790.0,1920.0,1940.0,2100.0,2640.0,2480.0,1790.0,1140.0,540.0,370.0,180.0,100.0,0.6949,6600.0,23.57
YISHUN,SPRINGLEAF,4370.0,130.0,170.0,250.0,300.0,320.0,410.0,250.0,180.0,260.0,310.0,290.0,370.0,350.0,290.0,240.0,120.0,80.0,30.0,20.0,0.1084,1130.0,25.86
YISHUN,YISHUN CENTRAL,2620.0,100.0,120.0,150.0,130.0,170.0,220.0,200.0,210.0,230.0,220.0,190.0,210.0,170.0,150.0,80.0,50.0,30.0,20.0,10.0,0.065,510.0,19.47
YISHUN,YISHUN EAST,60670.0,4270.0,4410.0,3270.0,2970.0,3300.0,4220.0,5420.0,6320.0,5050.0,4090.0,3850.0,4190.0,3440.0,2590.0,1670.0,730.0,510.0,250.0,120.0,1.5056,9310.0,15.35
YISHUN,YISHUN SOUTH,42240.0,1930.0,1690.0,1920.0,2090.0,2500.0,3600.0,3720.0,2940.0,2810.0,3010.0,2890.0,3690.0,3250.0,2570.0,1740.0,830.0,580.0,320.0,170.0,1.0482,9460.0,22.4
YISHUN,YISHUN WEST,53910.0,1780.0,1990.0,2440.0,2790.0,3410.0,3810.0,3590.0,3600.0,3810.0,4230.0,4330.0,4840.0,4500.0,3580.0,2320.0,1280.0,880.0,480.0,240.0,1.3378,13280.0,24.63
