planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
CLEMENTI,SUNSET WAY,5650.0,170.0,230.0,270.0,310.0,320.0,360.0,330.0,320.0,370.0,400.0,440.0,420.0,430.0,470.0,380.0,200.0,150.0,70.0,30.0,0.1402,1730.0,30.62
CLEMENTI,TOH TUCK,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
CLEMENTI,WEST COAST,6870.0,290.0,480.0,550.0,470.0,390.0,370.0,320.0,480.0,660.0,720.0,550.0,400.0,340.0,310.0,290.0,130.0,90.0,40.0,20.0,0.1705,1220.0,17.76
DOWNTOWN CORE,ANSON,80.0,,,,,,,,,,,,,,,,,,,,0.002,0.0,0.0
DOWNTOWN CORE,BUGIS,890.0,20.0,30.0,10.0,30.0,40.0,60.0,60.0,90.0,70.0,70.0,70.0,60.0,60.0,70.0,70.0,30.0,30.0,10.0,20.0,0.0221,290.0,32.58
DOWNTOWN CORE,CECIL,260.0,10.0,10.0,10.0,,10.0,20.0,40.0,60.0,30.0,20.0,20.0,10.0,10.0,10.0,,,,,,0.0065,20.0,7.69
DOWNTOWN CORE,CENTRAL SUBZONE,880.0,40.0,40.0,30.0,40.0,20.0,70.0,90.0,110.0,110.0,130.0,70.0,60.0,40.0,30.0,20.0,10.0,,,,0.0218,100.0,11.36
DOWNTOWN CORE,CITY HALL,80.0,,,,,,,,,,,,,,,,,,,,0.002,0.0,0.0
DOWNTOWN CORE,MARINA CENTRE,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
DOWNTOWN CORE,NICOLL,290.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,20.0,30.0,20.0,30.0,30.0,30.0,10.0,20.0,,,,,0.0072,60.0,20.69
