date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-03-24,2013,3,24,S06,S06,Paya Lebar Meteorological Station,2.5,,34.0,26.5,4.4,14.8
2013-03-25,2013,3,25,S06,S06,Paya Lebar Meteorological Station,48.6,,33.0,25.0,3.9,11.2
2013-03-26,2013,3,26,S06,S06,Paya Lebar Meteorological Station,0.3,,33.2,24.1,3.4,14.8
2013-03-27,2013,3,27,S06,S06,Paya Lebar Meteorological Station,17.5,,33.3,25.2,3.5,18.4
2013-03-28,2013,3,28,S06,S06,Paya Lebar Meteorological Station,0.0,,32.9,27.0,3.5,14.8
2013-03-29,2013,3,29,S06,S06,Paya Lebar Meteorological Station,5.6,,33.3,26.4,3.5,13.0
2013-03-30,2013,3,30,S06,S06,Paya Lebar Meteorological Station,7.5,,34.8,26.5,4.0,13.0
2013-03-31,2013,3,31,S06,S06,Paya Lebar Meteorological Station,0.0,,35.1,27.0,3.5,14.8
2013-04-01,2013,4,1,S06,S06,Paya Lebar Meteorological Station,9.9,,35.1,26.7,4.1,20.5
2013-04-02,2013,4,2,S06,S06,Paya Lebar Meteorological Station,7.9,,34.7,27.0,4.0,18.4
2013-04-03,2013,4,3,S06,S06,Paya Lebar Meteorological Station,4.0,,33.9,26.4,4.2,14.8
2013-04-04,2013,4,4,S06,S06,Paya Lebar Meteorological Station,2.7,,33.6,25.7,4.1,13.0
2013-04-05,2013,4,5,S06,S06,Paya Lebar Meteorological Station,0.0,,34.7,26.2,5.3,14.8
2013-04-06,2013,4,6,S06,S06,Paya Lebar Meteorological Station,4.5,,30.8,26.5,4.8,27.7
2013-04-07,2013,4,7,S06,S06,Paya Lebar Meteorological Station,0.0,,31.7,27.0,4.4,14.8
2013-04-08,2013,4,8,S06,S06,Paya Lebar Meteorological Station,1.6,,34.5,26.6,2.9,13.0
2013-04-09,2013,4,9,S06,S06,Paya Lebar Meteorological Station,0.0,,33.1,26.8,3.0,13.0
2013-04-10,2013,4,10,S06,S06,Paya Lebar Meteorological Station,0.3,,33.5,26.0,4.7,14.8
2013-04-11,2013,4,11,S06,S06,Paya Lebar Meteorological Station,0.0,,31.4,26.0,3.6,9.4
2013-04-12,2013,4,12,S06,S06,Paya Lebar Meteorological Station,0.0,,34.6,26.9,4.2,13.0
2013-04-13,2013,4,13,S06,S06,Paya Lebar Meteorological Station,34.0,,34.4,22.7,4.9,22.3
2013-04-14,2013,4,14,S06,S06,Paya Lebar Meteorological Station,0.5,,28.9,22.6,3.3,25.9
2013-04-15,2013,4,15,S06,S06,Paya Lebar Meteorological Station,0.0,,34.5,26.2,4.5,13.0
2013-04-16,2013,4,16,S06,S06,Paya Lebar Meteorological Station,65.8,,33.6,22.8,3.5,11.2
2013-04-17,2013,4,17,S06,S06,Paya Lebar Meteorological Station,1.3,,32.8,23.4,6.5,16.6
2013-04-18,2013,4,18,S06,S06,Paya Lebar Meteorological Station,1.6,,35.7,25.3,5.0,18.4
2013-04-19,2013,4,19,S06,S06,Paya Lebar Meteorological Station,5.6,,30.0,25.4,3.5,14.8
2013-04-20,2013,4,20,S06,S06,Paya Lebar Meteorological Station,0.0,,33.4,26.8,5.9,14.8
2013-04-21,2013,4,21,S06,S06,Paya Lebar Meteorological Station,4.6,,32.4,24.4,3.4,27.7
2013-04-22,2013,4,22,S06,S06,Paya Lebar Meteorological Station,0.0,,34.4,25.0,4.0,11.2
2013-04-23,2013,4,23,S06,S06,Paya Lebar Meteorological Station,0.0,,32.2,26.9,2.8,14.8
2013-04-24,2013,4,24,S06,S06,Paya Lebar Meteorological Station,0.0,,33.6,27.0,4.8,14.8
2013-04-25,2013,4,25,S06,S06,Paya Lebar Meteorological Station,5.0,,34.4,23.9,3.2,11.2
2013-04-26,2013,4,26,S06,S06,Paya Lebar Meteorological Station,0.6,,30.8,24.3,2.9,22.3
2013-04-27,2013,4,27,S06,S06,Paya Lebar Meteorological Station,4.0,,33.3,26.3,2.5,11.2
2013-04-28,2013,4,28,S06,S06,Paya Lebar Meteorological Station,52.4,,28.0,23.5,2.7,14.8
2013-04-29,2013,4,29,S06,S06,Paya Lebar Meteorological Station,0.0,,33.5,25.8,5.1,18.4
