planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over,elderly_pop,elderly_pct
GEYLANG,GEYLANG EAST,29920,1100,1310,1440,1340,1560,2050,2000,2160,2350,2320,2050,2110,2230,1960,1750,900,680,410,210,5910,0.1975
GEYLANG,KALLANG WAY,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
GEYLANG,KAMPONG UBI,11800,400,460,520,560,750,1040,1010,800,800,750,750,1010,1100,840,520,260,130,60,40,1850,0.1568
GEYLANG,MACPHERSON,28360,1210,1000,1110,1270,1530,2010,2270,1880,1710,1860,2190,2410,2340,1870,1340,900,780,450,250,5590,0.1971
HOUGANG,DEFU INDUSTRIAL PARK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOUGANG,HOUGANG CENTRAL,4720,130,130,210,280,340,440,350,260,240,320,400,400,430,310,210,110,90,40,30,790,0.1674
HOUGANG,HOUGANG EAST,24920,1360,1230,1040,1090,1470,2110,2290,2160,1710,1640,1610,2070,1870,1370,920,480,280,150,80,3280,0.1316
HOUGANG,HOUGANG WEST,45460,1330,1420,1730,2000,2910,4030,3540,2750,2580,2960,3310,4430,4410,3390,2210,1090,730,430,220,8070,0.1775
HOUGANG,KANGKAR,32290,1760,1740,1570,1600,1690,2040,2710,2800,2480,2520,2170,2290,2200,1810,1280,740,540,250,120,4740,0.1468
HOUGANG,KOVAN,24810,900,1110,1270,1420,1650,1890,1660,1560,1700,1960,1740,1940,1920,1510,1120,590,450,240,180,4090,0.1649
HOUGANG,LORONG AH SOO,32320,950,1140,1390,1690,1910,2270,2180,2010,2180,2490,2410,2580,2700,2300,1810,980,750,410,180,6430,0.1989
HOUGANG,TAI SENG,13830,430,560,690,750,970,990,830,740,850,950,1020,1180,1170,970,670,420,350,200,120,2730,0.1974
HOUGANG,TRAFALGAR,49200,2260,2110,2420,2700,3220,3830,3640,3210,3340,3670,3950,4150,3930,2880,1910,880,600,350,150,6770,0.1376
JURONG EAST,INTERNATIONAL BUSINESS PARK,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JURONG EAST,JURONG GATEWAY,450,20,20,20,30,20,50,40,40,50,60,30,20,20,10,10,10,0,0,0,30,0.0667
JURONG EAST,JURONG RIVER,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JURONG EAST,LAKESIDE LEISURE,1070,20,20,20,30,30,50,50,60,60,70,80,70,100,120,110,80,60,30,10,410,0.3832
JURONG EAST,PENJURU CRESCENT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JURONG EAST,TEBAN GARDENS,18530,760,840,890,930,1050,1150,1240,1350,1340,1340,1270,1360,1350,1410,1170,530,330,150,80,3670,0.1981
JURONG EAST,TOH GUAN,14590,420,500,670,860,1000,1260,1080,920,890,1120,1070,1280,1400,1010,570,240,170,110,50,2150,0.1474
JURONG EAST,YUHUA EAST,24770,690,830,1040,1240,1420,1790,1650,1610,1690,1810,1750,1890,2170,1960,1560,720,510,280,150,5180,0.2091
JURONG EAST,YUHUA WEST,19160,600,690,900,1070,1240,1400,1310,1100,1200,1460,1440,1600,1640,1430,1010,480,340,170,100,3530,0.1842
JURONG WEST,BOON LAY PLACE,29340,1520,1630,1600,1670,1850,1960,2270,2470,2140,2240,2250,2120,1790,1500,1090,590,390,170,90,3830,0.1305
JURONG WEST,HONG KAH,53890,1870,2180,2590,3060,3320,3730,3720,3710,3840,4190,3960,4010,4310,3900,2790,1330,800,400,180,9400,0.1744
JURONG WEST,JURONG WEST CENTRAL,63760,2530,3570,4190,4040,3750,4160,4690,5490,6140,5760,4590,4170,4040,3160,1880,770,490,240,120,6660,0.1045
JURONG WEST,KIAN TECK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JURONG WEST,TAMAN JURONG,39920,2030,2180,2260,2430,2650,2860,2910,3120,3040,3160,3230,2840,2490,1970,1330,660,410,250,110,4730,0.1185
JURONG WEST,WENYA,8280,440,610,670,540,380,460,500,820,900,740,540,420,390,330,220,120,80,60,50,860,0.1039
JURONG WEST,YUNNAN,67500,2190,2830,3680,4370,5440,6130,4240,4280,4810,5130,5550,5790,4800,3690,2340,1080,650,310,190,8260,0.1224
KALLANG,BENDEMEER,37570,1900,1760,1460,1370,1490,2310,3280,3240,3070,2740,2350,2380,2690,2500,1990,1220,940,500,370,7520,0.2002
KALLANG,BOON KENG,11790,410,450,410,500,550,760,860,800,810,850,880,910,970,840,710,410,370,210,120,2660,0.2256
KALLANG,CRAWFORD,8380,220,200,240,260,330,430,400,390,460,550,620,810,860,790,730,440,350,180,130,2620,0.3126
KALLANG,GEYLANG BAHRU,11280,270,330,440,530,600,660,660,630,780,940,940,980,940,810,670,430,360,200,120,2590,0.2296
KALLANG,KALLANG BAHRU,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
KALLANG,KAMPONG BUGIS,920,40,20,20,40,50,100,80,70,60,70,50,60,90,70,60,20,10,10,10,180,0.1957
KALLANG,KAMPONG JAVA,10530,330,450,460,450,520,640,660,710,830,920,780,790,760,700,650,350,300,140,100,2240,0.2127
KALLANG,LAVENDER,9690,350,400,430,430,430,580,640,670,770,870,720,750,730,640,540,290,250,110,90,1920,0.1981
KALLANG,TANJONG RHU,11110,410,530,630,700,590,500,600,790,1050,1200,990,820,690,580,420,270,180,80,70,1600,0.144
LIM CHU KANG,LIM CHU KANG,110,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,0,0,0,0,20,0.1818
MANDAI,MANDAI ESTATE,2090,60,90,120,130,170,170,120,130,140,190,160,180,150,90,80,40,30,20,10,270,0.1292
MARINE PARADE,KATONG,9360,390,500,490,500,500,560,490,670,830,880,710,670,600,500,410,250,210,130,90,1590,0.1699
MARINE PARADE,MARINE PARADE,26880,1060,1420,1390,1300,1320,1330,1320,1730,2100,2360,2010,1870,1770,1520,1550,1050,960,500,320,5900,0.2195
MARINE PARADE,MOUNTBATTEN,9980,450,490,540,560,570,610,580,680,800,910,720,740,650,540,520,250,170,120,90,1690,0.1693
MUSEUM,BRAS BASAH,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
